Drug1,Drug2,DDI_model_1_predict,DDI_model_2_predict,answer
CCN(CC)C(=S)SSC(=S)N(CC)CC,NC1=NC2=C(N=CN2[C@@H]2C[C@H](CO)C=C2)C(NC2CC2)=N1,0.5422369837760925,0.5078974366188049,0.9
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,0.5488225221633911,0.5325357913970947,0.9
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,0.5151498317718506,0.5087524056434631,0.5
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,0.4810587465763092,0.49521321058273315,0.5
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,C1CN2C[C@@H](N=C2S1)C1=CC=CC=C1,0.5177948474884033,0.5256484150886536,0.5
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,NC(=N)C1=CC=C(OCCCCCOC2=CC=C(C=C2)C(N)=N)C=C1,0.5334820747375488,0.5213413834571838,0.5
CCC1=C(C(N)=NC(N)=N1)C1=CC=C(Cl)C=C1,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,0.4878852963447571,0.5040915608406067,0.5
CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC,0.5459078550338745,0.5682717561721802,0.5
CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4C4=CN=CC=C4)C3CC=C2C1,0.4495882987976074,0.2485222965478897,0.5
CCCCN(CCCC)CCC(O)C1=C2C=CC(=CC2=C2C=C(Cl)C=C(Cl)C2=C1)C(F)(F)F,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4C4=CN=CC=C4)C3CC=C2C1,0.3504917025566101,0.18017569184303284,0.1
CCN(CCO)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4C4=CN=CC=C4)C3CC=C2C1,0.4259883463382721,0.23829162120819092,0.5
OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F,CC(=O)O[C@H]1CC[C@]2(C)C3CC[C@@]4(C)C(CC=C4C4=CN=CC=C4)C3CC=C2C1,0.482642263174057,0.5035049915313721,0.5
